Year,State,Coalition,Fuel Type,Vehicle Class,GGE Impacted,GHG Impacted
2025,FL,Southeast Florida Clean Cities Coalition,Propane,Off-Road,1167.700705,1.719562881339
2025,GA,Clean Cities,Biodiesel,Heavy-Duty,36499.704365,287.836165784338
2025,GA,Clean Cities,Biodiesel,Light-Duty,1055.489274,17.182308180545
2025,GA,Clean Cities,CNG,Heavy-Duty,5511052.652814,25144.144941352737
2025,GA,Clean Cities,CNG,Light-Duty,427716.507727,983.878494972815
2025,GA,Clean Cities,CNG,Off-Road,7479.787499999999,17.555937007733
2025,GA,Clean Cities,E85,Light-Duty,76505.531911,383.331099636707
2025,GA,Clean Cities,Electric,Heavy-Duty,117412.339487,887.442391475446
2025,GA,Clean Cities,Electric,Light-Duty,194309.634061,1522.0759041253111
2025,GA,Clean Cities,Electric,Off-Road,1128865.058624,7448.983552784681
2025,GA,Clean Cities,HEV,Heavy-Duty,40703.937816,481.98290532091903
2025,GA,Clean Cities,HEV,Light-Duty,158126.946134,1848.197791425092
2025,GA,Clean Cities,HEV Diesel,Off-Road,1731.220943,20.49970947215
2025,GA,Clean Cities,LNG,Heavy-Duty,14311.151041,2.255695255343
2025,GA,Clean Cities,PHEV,Light-Duty,1966.034519,22.182774736949998
2025,GA,Clean Cities,Propane,Heavy-Duty,997657.978534,856.025797022539
2025,GA,Clean Cities,Propane,Light-Duty,188752.89461800002,281.805710797341
2025,GA,Clean Cities,Propane,Off-Road,158013.77133699998,235.91258421282097
2025,MS,Mississippi Clean Fuels Coalition,Propane,Heavy-Duty,236442.364906,-92.910975712222
2025,NC,Centralina Clean Fuels Coalition,Biodiesel,Heavy-Duty,111293.65314099999,877.660215453069
2025,NC,Centralina Clean Fuels Coalition,Biodiesel,Off-Road,1750.517676,13.804558280874
2025,NC,Centralina Clean Fuels Coalition,CNG,Heavy-Duty,398043.661,2509.785732095608
2025,NC,Centralina Clean Fuels Coalition,CNG,Light-Duty,90158.439,149.849524639477
2025,NC,Centralina Clean Fuels Coalition,E85,Heavy-Duty,614.669141,1.89004233768
2025,NC,Centralina Clean Fuels Coalition,Electric,Heavy-Duty,307799.04422,3325.555385188476
2025,NC,Centralina Clean Fuels Coalition,Electric,Light-Duty,5949039.5754350005,48742.67031626989
2025,NC,Centralina Clean Fuels Coalition,Electric,Off-Road,2.52694,0.016674389909
2025,NC,Centralina Clean Fuels Coalition,HEV,Heavy-Duty,231173.170361,2737.3645464979827
2025,NC,Centralina Clean Fuels Coalition,HEV,Light-Duty,16880.882319,197.304824902076
